Substack Handle,Author,Newsletter Name,Website URL,Category,Collections
conversaitions,Convers(AI)tions,Convers(AI)tions,https://convers41tions.substack.com,AI & Machine Learning,SWAI
decision,Cassie Kozyrkov,Decision Intelligence,https://decision.substack.com,AI & Machine Learning,SWAI
poetofcode,Dr. Joy Buolamwini,Dr. Joy - Newsletter,https://poetofcode.substack.com,Ethics & Society,SWAI
helenaward,Helena Ward,The EI Network,https://theeinetwork.substack.com,Ethics & Society,SWAI
emmiehine,Emmie Hine,The Ethical Reckoner,https://ethicalreckoner.substack.com,Ethics & Society,SWAI
harshinirajachander,Harshini Rajachander,The Incoming Wave,https://4thwaverintech.substack.com,AI & Machine Learning,SWAI
lakshmiveeramani,Lakshmi Veeramani,Lakshmi's Substack,https://lakshmiveeramani.substack.com,AI & Machine Learning,SWAI
blairglaser,Blair Glaser,The Human Intelligence (HI) Stack,https://thehistack.substack.com,Ethics & Society,SWAI
oliviagambelin,Olivia Gambelin,In Pursuit of Good Tech,https://pursuitofgoodtech.substack.com,Technology,SWAI
jinghuu,Jing Hu,2nd Order Thinkers,https://jwho.substack.com,AI & Machine Learning,SWAI
marilynika,Marily Nika,Marily Nika’s AI Product Academy Newsletter,https://marily.substack.com,AI & Machine Learning,SWAI
harrisrachel,Rachel Harris,privAIcy insights,https://privaicyinsights.substack.com,Ethics & Society,SWAI
themuse,Birgitte Rasine,“On AI” section in The Muse,https://themuse.substack.com,AI & Machine Learning,SWAI
ceciliacallas,Cecilia Callas,RemAIning Human,https://ceciliacallas.substack.com,Ethics & Society,SWAI
emmiecampbell,Emily Campbell,The Shape of AI,https://shapeofai.substack.com,AI & Machine Learning,SWAI
sharongoldman,Sharon Goldman,AI Side Notes with Sharon Goldman,https://sharongoldman.substack.com,AI & Machine Learning,SWAI
visuallyai,Heather Cooper,Visually AI by Heather Cooper,https://heatherbcooper.substack.com,AI & Machine Learning,SWAI
karensmiley,,6 'P's in AI Pods (AI6P),https://sixpeas.substack.com,AI & Machine Learning,SWAI
karensmiley,Karen Smiley,Everyday Ethical AI,https://karensmiley.substack.com,Ethics & Society,SWAI
natalenoci,Natalia Lenoci,Natalia Lenoci,https://natalenoci.substack.com,AI & Machine Learning,SWAI
zainmasri,Zain Masri,Zain’s Substack,https://zainmasri.substack.com,AI & Machine Learning,SWAI
theinteldesk,Meaghan Gruppo,The Intel Desk,https://theinteldesk.substack.com,AI & Machine Learning,SWAI
productinaction,Marina Vytovtova,Marina@Product-in-Action Substack,https://productinaction.substack.com,AI & Machine Learning,SWAI
jdietsch,Jeanne Dietsch,Saving Humankind-ness,https://jdietsch.substack.com,Ethics & Society,SWAI
hollisrobbins,Hollis Robbins,Anecdotal Value,https://hollisrobbinsanecdotal.substack.com,AI & Machine Learning,SWAI
tess1,Tess Hilson-Greener,,,,SWAI
askalibrarian,Ask A Librarian,Ask A Librarian,https://askalibrarian.substack.com,AI & Machine Learning,SWAI
alphalyrae,Vega Shah,The Aliquot,https://thealiquot.substack.com,AI & Machine Learning,SWAI
marinatalamanou,Marina T Alamanou,MetaphysicalCells,https://marinatalamanou.substack.com,AI & Machine Learning,SWAI
amritaroy,,The Pragmatic Optimist,https://amritaroy.substack.com,AI & Machine Learning,SWAI
miablume,Mia Blume,Designing with AI,https://designingwithai.substack.com,AI & Machine Learning,SWAI
techsoda,Judy Lin 林昭儀,TechSoda,https://techsoda.substack.com,Technology,SWAI
deeplearningwiththewolf,Diana Wolf Torres,Deep Learning With The Wolf,https://dianawolftorres.substack.com,AI & Machine Learning,SWAI
aysukececi,Aysu Kececi,Road to Earth 2.0,https://roadtoearth.substack.com,Ethics & Society,SWAI
theeconomicsofhappiness,theronnicles,The Economics of Happiness,https://theeconomicsofhappiness.substack.com,AI & Machine Learning,SWAI
aizarashid,Aiza Rashid,AI With Aiza,https://theaibulletin.substack.com,AI & Machine Learning,SWAI
aliciabankhofer,Alicia Bankhofer,Create. Innovate. Educate.,https://aliciabankhofer.substack.com,Education & Learning,SWAI
barbarageyer,Barbara Geyer,KI in Lehre und Weiterbildung,https://barbarageyer.substack.com,Education & Learning,SWAI
aiguide,Melanie Mitchell,AI: A Guide for Thinking Humans,https://aiguide.substack.com,Ethics & Society,SWAI
aieducation,Claire Zau,GSV: AI & Education,https://aieducation.substack.com,Education & Learning,SWAI
vanshikagoel,Vanshika Goel,Vanshika's Newsletter,https://vanshikagoel.substack.com,AI & Machine Learning,SWAI
kseniase,Ksenia Se,Turing Post,https://turingpost.substack.com,AI & Machine Learning,SWAI
dwnaifinance,Cindy Taylor | AI & Finance™,The Daily AI™,https://cindytaylor.substack.com,AI & Machine Learning,SWAI
justainewsletter,Paige,Just AI - A Responsible AI Newsletter,https://thepaigelord.substack.com,Ethics & Society,SWAI
brittanywadhwani,Brittany Wadhwani,Health Bytes,https://healthtechbytes.substack.com,Health & Wellness,SWAI
ipsitachatterjee,Ipsita Chatterjee,Ipsita Chronicles,https://ipsitachatterjee.substack.com,AI & Machine Learning,SWAI
runsdata,Brinnae Bent,Spill the GPTea,https://spillthegptea.substack.com,AI & Machine Learning,SWAI
bessauer,Bess Auer,The Art of Being Human(s),https://bessauer.substack.com,Ethics & Society,SWAI
ideja,Ideja,Edvance AI,https://edvance.substack.com,Education & Learning,SWAI
aboniasojasingarayar,Abonia Sojasingarayar,Abonia Sojasingarayar,https://aboniasojasingarayar.substack.com,AI & Machine Learning,SWAI
mikikobazeley,Mikiko Bazeley,Building AI Products From Scratch,https://mikikobazeley.substack.com,AI & Machine Learning,SWAI
yourusefulnugget,Beatriz BS,Your Research Nugget,https://beatrizberd.substack.com,AI & Machine Learning,SWAI
ownyourambition,Bonnie Marcus,Own Your Ambition,https://bonniemarcus1.substack.com,Career & Leadership,SWAI
rameenmasood,Rameen Masood,Mindful Machines,https://rameenmasood.substack.com,AI & Machine Learning,SWAI
mishraprachi,Prachi Mishra,The AI PMM,https://theaipmm.substack.com,AI & Machine Learning,SWAI
privacat1,Privacat,Privacat Insights,https://insights.priva.cat/,Ethics & Society,SWAI
jennyouyang,Jenny Ouyang,Build to Launch,https://buildtolaunch.substack.com/,Product Development,SWAI
incolor,Trecia Warnholz,techRISE,https://incolor.substack.com,Ethics & Society,SWAI
katieblouin,Katie Blouin,Katie Blouin,https://katieblouin.substack.com,AI & Machine Learning,SWAI
aikicks,AI Kicks,AI Kicks,https://aikicks.substack.com,Ethics & Society,SWAI
thedatagovernanceplaybook,Charlotte Ledoux,The Data Governance Playbook,https://charlotteledoux.substack.com,Ethics & Society,SWAI
janerosenzweigwrites,Jane Rosenzweig,Writing Hacks (Writing Matters),https://writinghacks.substack.com,Writing,SWAI
janelleteng,Janelle Teng,Next Big Teng,https://nextbigteng.substack.com,AI & Machine Learning,SWAI
kristabradford,Krista Bradford,Bradford She Wrote,https://kristabradford.substack.com,Writing,SWAI
kconrad,Katie (Kathryn) Conrad,Pandora's Bot,https://kconrad.substack.com,AI & Machine Learning,SWAI
annamills,Anna Mills,Anna Mills' Substack,https://annamills.substack.com,AI & Machine Learning,SWAI
annettevee,Annette Vee,Computation & Writing,https://annettevee.substack.com,Writing,SWAI
mandyliu,Mandy Liu,Smarter Techies,https://mandyliu.substack.com,Technology,SWAI
artfish,Yennie Jun,Art Fish Intelligence,https://www.artfish.ai,Design & Creative,SWAI
paulinaszyzdek,Paulina Szyzdek / HardTech VC,Paulina's Substack,https://paulinaszyzdek.substack.com,Business & Strategy,SWAI
amydatm,Ame_data analyst,Data according to me...,https://ameikpe.substack.com,Data & Analytics,SWAI
aischoollibrarian,The Ai School Librarian,The AI School Librarian Newsletter,https://elissamalespina.substack.com,Education & Learning,SWAI
michalblochron,Michal Bloch Ron,Stanford GSB AI Research,https://stanfordgsbai.substack.com,AI & Machine Learning,SWAI
mafedebaggis,Mafe De Baggis,Story Hacking,https://storyhacking.substack.com,Writing,SWAI
tldraia,TLDR;AIA,TLDR;AIA,https://tldraiacademia.substack.com,Education & Learning,SWAI
algorithmsarepersonal,Soribel Feliz,Soribel's Substack (Algorithms Are Personal),https://soribelfeliz.substack.com,AI & Machine Learning,SWAI
helenbeetham,Helen Beetham,imperfect offerings,https://helenbeetham.substack.com,AI & Machine Learning,SWAI
ishitajaiswal631633,Ishita Jaiswal,Ankur's Newsletter,https://www.ankursnewsletter.com,AI & Machine Learning,SWAI
junkoyoshida,Junko Yoshida,Junko's Tech Probe,https://junkoyoshidaparis.substack.com,Technology,SWAI
amylbernsteinauthor,Amy L Bernstein,Doubt Monster,https://amylbernsteinauthor.substack.com,Ethics & Society,SWAI
chantalsmith,Chantal Smith,Exponential View (Azeem Azhar),https://www.exponentialview.co/,AI & Machine Learning,SWAI
thereluctantgraduate,Christine Olukere,The Reluctant Graduate,https://thereluctantgraduate.substack.com,AI & Machine Learning,SWAI
ebeshero,Elisa Beshero-Bondar,Elisa Beshero-Bondar,https://ebeshero.substack.com,AI & Machine Learning,SWAI
jordanharrod,Jordan Harrod,es machina,https://jordanharrod.substack.com,Business & Strategy,SWAI
gasgiantbee,Michelle Bee,Michelle Bee,https://michellebee75.substack.com,AI & Machine Learning,SWAI
behavioralinsight,Katarzyna Szczesna,Ethical AI & Human Behavior,https://behavioralinsight.substack.com,Ethics & Society,SWAI
aihacks,Andrea Naomi,AI Hacks,https://aihacks.substack.com,AI & Machine Learning,SWAI
aiforlawyers,Amy Swaner,AI For Lawyers,https://aiforlawyers.substack.com,Legal,SWAI
oscrai,Angelina Yang,Oscr AI,https://blog.oscr.tech/,AI & Machine Learning,SWAI
evartology,Eva Rtology,AI-power for digital ART,https://evartology.substack.com,Creative Arts,SWAI
lisannebuik,Lisanne Buik,Gracious AI Radio,https://lisannebuik.substack.com,Creative Arts,SWAI
legalethics,Renee Jefferson,Legal Ethics Roundup,https://legalethics.substack.com,Ethics & Society,SWAI
kendratech,Kendra Ramirez,AI Simplified,https://kendratech.substack.com,AI & Machine Learning,SWAI
aicoaching,Stephanie Brail - AI Coach,AI Prognosticator,https://aiprognosticator.substack.com,AI & Machine Learning,SWAI
aishwaryasrinivasan,,AI with Aish,https://aishwaryasrinivasan.substack.com,AI & Machine Learning,SWAI
sarahschoudhary,Sarah Choudhary,AI Frontier,https://qalupatra.substack.com,AI & Machine Learning,SWAI
aysekubrakuyucu,Ayşe Kübra Kuyucu,AI & Entrepreneurship,https://aysekubrakuyucu.substack.com,Business & Strategy,SWAI
aiminds,"Amy Daali, PhD",AI Minds,https://aiminds.substack.com,AI & Machine Learning,SWAI
jonnasaarinen,Jonna Saarinen,AI for sustainability,https://jonnasaarinen.substack.com,Ethics & Society,SWAI
tessax,Tessa Xie,Diving into Data,https://www.divingintodata.com,Data & Analytics,SWAI
chrischirp,Christina Pagel,"Making sense... of evidence, data, and the stories they tell
",https://christinapagel.substack.com,Data & Analytics,SWAI
chiphuyen,Chip Huyen,Chip's Substack,https://chiphuyen.substack.com,AI & Machine Learning,SWAI
karinschoefegger,Karin,"Karin's Newsletter - AI, HealthTech and more",https://karinschoefegger.substack.com,Health & Wellness,SWAI
aispark,Kavitha Hanuramlal,AI Spark - Weekly Newsletter,https://aispark.substack.com,AI & Machine Learning,SWAI
kaystoner,KayStoner,What Good is AI?,https://kaystoner.substack.com,AI & Machine Learning,SWAI
slimmermetai,Julia Loth,Slimmer Met AI,https://slimmermetai.substack.com,AI & Machine Learning,SWAI
lunaschtick,Daisy Thomas,The HITList,https://thehitlist.substack.com,AI & Machine Learning,SWAI
urszularichards,Urszula Richards,AI: From Why to Wow with Urszula Richards,https://urszularichards.substack.com,AI & Machine Learning,SWAI
sammysamica,Sam Silverman,This isn't fine,https://thisisntfine.substack.com,Ethics & Society,SWAI
cynthialane,Cynthia Lane,The AI Fusion Point,https://cynthialane.substack.com,AI & Machine Learning,SWAI
gretabujute,Greta Bujute,AI & Data Protection Digest,https://gretabujute.substack.com,Ethics & Society,SWAI
freyesaur,Freyesaur,,,,SWAI
fiona110323,Fiona Tokple,Climate x AI,https://tokplefiona.substack.com,Ethics & Society,SWAI
irishmaybellej,Irish Maybelle Jaug,AI Outsourcing Hub,https://irishmaybellej.substack.com,Business & Strategy,SWAI
haninesalman,Hanine Salman,Simplify AI,https://haninesalman.substack.com,AI & Machine Learning,SWAI
krutinshah,Krutin Shah,"Tech, AI and Beyond for Small and Medium Businesses",https://krutinshah.substack.com,Business & Strategy,SWAI
aimetelke,Elke Spinnewyn,AI met Elke,https://aimetelke.substack.com,AI & Machine Learning,SWAI
globalaiadvisors,Sarah Cornett,AI Strategist,https://scinnovate.substack.com,Business & Strategy,SWAI
aiweatherhub,Karolina Stanisławska,AI Weather Hub,https://aiweatherhub.substack.com,AI & Machine Learning,SWAI
aiparentingcompanion,Lisa Hancock,AI Parenting Companion,https://aiparentingcompanion.substack.com,Parenting & Relationships,SWAI
patrycjazarskacynk,PatrycjaZarskaCynk,,,,SWAI
eryntravis,From Aristotle to AI,From Aristotle to AI,https://eryntravis.substack.com,AI & Machine Learning,SWAI
halanelson,Hala Nelson,"AI, Data, Digital Twins, and Information",https://halanelson.substack.com,Technology,SWAI
thisjennwolfe,Jenn Wolfe,Thought Processors: The AI Writing Lab,https://thoughtprocessors.substack.com,Writing,SWAI
ethicaledgebyevie,Evie Wentink,Ethical Edge,https://ethicaledge.substack.com,Ethics & Society,SWAI
rachelkimber,Rachel Kimber,Rachel's Reflections on this AI world,https://rachelkimber.substack.com,Ethics & Society,SWAI
dorotapawlak,Dorota Pawlak,Small Biz AI,https://smallbizai.substack.com,Business & Strategy,SWAI
rujutasingh,Rujuta Singh,Field Notes on Humans by AI,https://fieldnotesonhumans.substack.com,AI & Machine Learning,SWAI
marlynnweimd,"Marlynn Wei, MD, JD",The Psychology of AI,https://psychai.substack.com,Ethics & Society,SWAI
azubko,Alexandra Zubko,Time-Saving AI Solutions for Busy Moms,https://chiefhouseholdofficer.substack.com,Parenting & Relationships,SWAI
vivedhaelango,Vivedha Elango,AI Simplified,https://vivedhaelango.substack.com,AI & Machine Learning,SWAI
professorgibson,Sarah Gibson,"AI and the Human, AI and the Kid, AI and the Professor",https://professorgibson.substack.com,Parenting & Relationships,SWAI
optimismai,Jessica Barratt,Optimism in AI,https://optimisminai.substack.com,AI & Machine Learning,SWAI
riannezweers,Rianne Zweers,AI for personal growth,https://aiforpersonalgrowth.substack.com,Education & Learning,SWAI
theailatina,Yovana Rosales,"Yovana's AI, Entrepreneur, and Self-Care Journey",https://yovanarosales.substack.com,Business & Strategy,SWAI
tipsforteachingprofessors,Breana Bayraktar,Tips for Teaching Professors,https://higheredpraxis.substack.com,Education & Learning,SWAI
xuechunhu,Xuechun Hu,AI Sogni,https://aisogni.substack.com,AI & Machine Learning,SWAI
karenonielsen,Karen O. Nielsen,The AI Mosaic,https://theaimosaic.substack.com,AI & Machine Learning,SWAI
christinahsiang,Christina Hsiang,AI Conscious,https://aiconscious.substack.com,AI & Machine Learning,SWAI
catrionakennedy,Catriona Kennedy,Thoughts on AI and Society,https://catrionakennedy.substack.com,Ethics & Society,SWAI
teckedin,Teckedin tech information hub,Teckedin's Tech-only Knowledge base ,https://teckedin.substack.com,Technology,SWAI
thedataatlasbyameena,The Data Atlas by Ameena,The Data Atlas by Ameena,https://ameena5432.substack.com,Data & Analytics,SWAI
ninaschick,Nina Schick,Industrial Intelligence: a new era for AI,https://ninaschick.substack.com,Technology,SWAI
valerieehrlichphd,"Valerie Ehrlich, PhD",The Bloom Shift,https://missionbloom.substack.com,Science & Research,SWAI
nicolehennig,Nicole Hennig,Generative AI News by Nicole Hennig,https://nicolehennig.substack.com,AI & Machine Learning,SWAI
imamiri,Ima Miri,The AI Point Edge,https://newsletter.aipoint.io/,AI & Machine Learning,SWAI
carolyncohagan,Carolyn Cohagan,This Memoir Will Be Written By Robots,https://writtenbyrobots.substack.com,AI & Machine Learning,SWAI
salomeleduc,Salomé Leduc,Coffee AI,https://coffeeai.substack.com,AI & Machine Learning,SWAI
cristinamariani,Cristina Mariani,"AI in azienda - notizie, spunti utili e aggiornamenti ",https://cristinamariani.substack.com,AI & Machine Learning,SWAI
reneasirbu,Renée A. Sirbu,"You, I, and AI",https://youiandai.substack.com,Ethics & Society,SWAI
gingerliu,Ginger Liu,GLIU AI and Visual Arts,https://gingerliu.substack.com,Creative Arts,SWAI
amberbockel,Amber Heinbockel,"Designing for Tomorrow: UX, AI, and Career",https://amberbockel.substack.com,Creative Arts,SWAI
sofiafenichell,Sofia Fenichell,How to Help Your Kids Succeed in the Age of AI,https://sofiafenichell.substack.com,Parenting & Relationships,SWAI
ursula8sciform,Ursula Maria Mayer,"AI - the Deep, the Curious, and the Fun",https://ursula8sciform.substack.com,AI & Machine Learning,SWAI
nastechai,Nas,Nas AI,https://nasai.substack.com,AI & Machine Learning,SWAI
deniseholt,Denise Holt,Spatial Web AI by Denise Holt,https://deniseholt.substack.com,AI & Machine Learning,SWAI
luisaherrmann,Luisa Herrmann,Practical AI by AINovva,https://luisaherrmann.substack.com,AI & Machine Learning,SWAI
puffinwalker,Puffinwalker,Puffinwalker's XR and AI Portal,https://puffinwalker.substack.com,AI & Machine Learning,SWAI
lmillerethicist,Laura Miller,The Lens of Authenticity,https://thelensofauthenticity.substack.com,Ethics & Society,SWAI
noeliaamoedo,Noelia Amoedo,Noel-IA's Substack,https://noeliaamoedo.substack.com,AI & Machine Learning,SWAI
leahtharin,Leah Tharin,Leah’s AI-Tea,https://aitea.substack.com,AI & Machine Learning,SWAI
giuliaspanophd,"Giulia Spano, PhD",The Scenarionist,https://www.thescenarionist.com,Business & Strategy,SWAI
jasmine,Jasmine Sun,@Jasmine,https://jasmi.news,AI & Machine Learning,SWAI
elenatosato,Elena Tosato ,Elena Tosato's Substack,https://elenatosato.substack.com,Business & Strategy,SWAI
meghnarao,Meghna Rao,"a machine, learning",https://meghnarao.substack.com,AI & Machine Learning,SWAI
ruxandrasava,Ruxandra SAVA,LegalUP,https://legalup.substack.com,Law,SWAI
veronicahylak,Veronica Hylak,The AI Almanac,https://aialmanac.substack.com,AI & Machine Learning,SWAI
aiparenthood,Sheelah McCaughan ,AI Parenthood,https://aiparenthood.substack.com,Parenting & Relationships,SWAI
raquelhunter,Raquel S. Hunter,AI Marketing Strategies,https://raquelhunter.substack.com,Business & Strategy,SWAI
celestegarciagettingreal,Celeste Garcia,Getting Real About AI,https://gettingrealaboutai.substack.com,AI & Machine Learning,SWAI
kerstinbeckman,Kerstin Beckman,Kerstin om AI,https://kerstinbeckman.substack.com,AI & Machine Learning,SWAI
danapittmanonline,Dana Pittman,Write a Novel with AI,https://writeanovelwithai.substack.com,Writing,SWAI
anneclairebaschet,Anne Claire Baschet,Crafting Impactful Data & AI Products,https://craftingaiproducts.substack.com,Product Development,SWAI
aifutures,Kate Armstrong,AI Futures for Art and Design,https://aifutures.substack.com,Creative Arts,SWAI
priyatahiliani,Priya Tahiliani,AI Lady,https://priyatahiliani.substack.com,AI & Machine Learning,SWAI
stephaniekratz,Stephanie A. Kratz,,,,SWAI
lavanyaai,Lavanya,,,,SWAI
alexsandu,Alex Irina Sandu,The Strategy Deck,https://alexsandu.substack.com,Business & Strategy,SWAI
katalinahernandez,Katalina Hernández,Stress-Testing Reality Limited,https://katalinahernandez.substack.com,AI & Machine Learning,SWAI
annikahelendi,Annika Helendi ,AI & Marketing with Annika Helendi,https://annikahelendi.substack.com,Business & Strategy,SWAI
maivens,Cheyenne Dominguez | M(AI)VENS,Women + AI Society,https://womenai.substack.com,Ethics & Society,SWAI
oneaiatatime,Marina Borges,One AI at a Time,https://oneaiatatime.substack.com,AI & Machine Learning,SWAI
imdianalee,Diana Lee,The Rebuild,https://imdianalee.substack.com,AI & Machine Learning,SWAI
dessislavasfessenko,Dessislava S. Fessenko,Bio- and AI Ethics at Work,https://dessislavasfessenko.substack.com,Ethics & Society,SWAI
rebeccadugas,Rebecca Dugas,Your AI Copyeditor,https://youraicopyeditor.substack.com,Writing,SWAI
kellydern,Kelly Dern,AI as a Design Partner,https://aidesignpartner.substack.com,Product Development,SWAI
erinelyons,Erin E. Lyons,AI + Eyre,https://ellisandeyre.substack.com,AI & Machine Learning,SWAI
aicoffeebreakwithletitia,AI Coffee Break with Letitia,AI Coffee Break with Letitia,https://aicoffeebreakwl.substack.com,AI & Machine Learning,SWAI
thesherrycode26,Sherry,AI Snippets,https://thesherrycode.substack.com,AI & Machine Learning,SWAI
emilystowe,Emily Stowe,The AI-Curious Newsletter,https://aicuriousnewsltr.substack.com,AI & Machine Learning,SWAI
micheleds,Michele DeKinder-Smith,Actionable AI Weekly,https://actionableaiweekly.substack.com,AI & Machine Learning,SWAI
jennykaufmann,Jenny Kaufmann,The AI Interpreter,https://aiinterpreter.substack.com,AI & Machine Learning,SWAI
lynetter,Lynette Webb,Musings on AI,https://lynetter.substack.com,AI & Machine Learning,SWAI
barbararychalska,Barbara,"Alert Prawa Finansowego
",https://monitorzmian.substack.com,AI & Machine Learning,SWAI
dominikabasaj,Dominika,No BS AI,https://nobsai.substack.com,AI & Machine Learning,SWAI
janetsalmons,Janet Salmons PhD,When The Field Is Online,https://janetsalmons.substack.com,Science & Research,SWAI
goddessofdirt,Andrea Harston,Don't Look Security,https://dontlooksecurity.substack.com,AI & Machine Learning,SWAI
jeannebealaw,Dr. Jeanne Beatrix Law ,Dr. Jeanne Beatrix Law ,https://jeannebealaw.substack.com,Science & Research,SWAI
drphilippahardman,Dr Philippa Hardman,"Dr Phil's Newsletter, Powered by DOMS™️ AI",https://drphilippahardman.substack.com,AI & Machine Learning,SWAI
karozieminski,Karo (Product With Attitude),Product With Attitude,https://karozieminski.substack.com,Product Development,SWAI
rundownstudio,Zain Verjee,The Rundown Studio,https://rundownstudio.substack.com,AI & Machine Learning,SWAI
rebeccabirch,Rebecca Birch,Rebecca Birch - On Education,https://rebeccabirch.substack.com,Education & Learning,SWAI
sophiasmithgaler,Sophia Smith Galer ,Glottal Stop,https://glottalstop.substack.com,AI & Machine Learning,SWAI
cleverclogsai,Clever Clogs AI,"AI Musings - The Good, The Bad, The Ugly",https://cleverclogsai.substack.com,AI & Machine Learning,SWAI
radines,R. A. Dines,Tech Dropout,https://racheldines.substack.com,Technology,SWAI
michellemillerphd,"Michelle Miller, Ph.D. ",Michelle Miller's R3 Newsletter,https://michellemillerphd.substack.com,AI & Machine Learning,SWAI
drsabbaquidwai,Dr. Sabba Quidwai,Designing Schools,https://designingschools.substack.com,Education & Learning,SWAI
sabrinaalbertwu,Sabrina Albert (Wu),Aspiring for Intelligence,https://aspiringforintelligence.substack.com,AI & Machine Learning,SWAI
celiacainphd,"Celia Cain, PhD ",Intellect & Intuition,https://celiacain.substack.com,AI & Machine Learning,SWAI
mkassorla,Michelle Kassorla,The Academic Platypus,https://michellekassorla.substack.com,Education & Learning,SWAI
enovok,Eugenia Novokshanova,Eugenie Novokshanova,https://enovok.substack.com,AI & Machine Learning,SWAI
solrashidi,Sol Rashidi,Sol's Newsletter,https://solrashidi.substack.com,AI & Machine Learning,SWAI
lizalong,Liza Long,Artisanal Intelligence,https://lizalong.substack.com,Design & Creative,SWAI
ssquasar,Snigdha Sharma ,Next World Trio,https://snigdhasharma.substack.com,AI & Machine Learning,SWAI
anitacoleman,Anita Sundaram Coleman,Infophilia: A Positive Psychology of Information,https://infophilia.substack.com,Education & Learning,SWAI
robodasha,Dasha Herrmannova ,One Minute NLP,https://oneminutenlp.com,AI & Machine Learning,SWAI
maaikecxd,Maaike Coppens,AI Product Focus,https://aiproductfocus.substack.com,Product Development,SWAI
raziaaliani,Razia Aliani,Era of the Research Bots,https://raziaaliani.substack.com,Science & Research,SWAI
annadallara,Anna Dallara,Speculative,https://annadallara.substack.com,AI & Machine Learning,SWAI
thebrooklyne,Brooklyne,Echoes of Elsewhere,https://thebrooklyne.substack.com,AI & Machine Learning,SWAI
futureofeducation,MacKenzie Price,Future of Education,https://futureofeducation.substack.com,Education & Learning,SWAI
elainefoster2,Elaine Foster,The Writers AI Companion,https://thewritersaicompanion.substack.com,Writing,SWAI
lumenailabs,Antonia Manoochehri,Lumenai LABS,https://lumenailabs.substack.com,AI & Machine Learning,SWAI
sarahseekingikigai,Sarah Seeking Ikigai,Sarah Seeking Ikigai,https://www.seekingikigai.online,Ethics & Society,SWAI
jaxgen2200,Jax,Towards Gen2200 with Jax,https://jaxnic.substack.com,Ethics & Society,SWAI
annsmarty,Ann Smarty,Ann Smarty's Search & #AI Digest,https://www.annsmarty.com,AI & Machine Learning,SWAI
domichalska,Dominika Michalska,The Builder's Playbook,https://www.bravelittleinsights.com,Product Development,SWAI
lisaraehsler,Lisa Raehsler,The Paid Media Mix,https://thepaidmediamix.substack.com,AI & Machine Learning,SWAI
akmahaja,Akanksha,The Data Compass,https://thedatacompass.substack.com,Data & Analytics,SWAI
yesyehlis,Yeliz Genc,NextGen-ius,https://yesyehlis.substack.com,Ethics & Society,SWAI
royapak,Roya Pakzad,Humane AI,https://royapakzad.substack.com,Ethics & Society,SWAI
aiplusart,Julia Morton,AI + Art,https://aiplusart.substack.com,Creative Arts,SWAI
elisaterumi,Elisa Terumi Rubel Schneider,Explorando a Inteligência Artificial,https://elisaterumi.substack.com,Creative Arts,SWAI
elisaterumi1,Elisa Terumi ,Exploring Artificial Intelligence,https://exploringartificialintelligence.substack.com,AI & Machine Learning,SWAI
shannonkedwards,Shannon Edwards,AI for Families,https://www.aiforfamilies.com,Parenting & Relationships,SWAI
analyticalnikita,Nikita Prasad,Epochs of Data Insights,https://analyticalnikita.substack.com,Data & Analytics,SWAI
carolinevrauwdeunt,Caroline Vrauwdeunt,Inside Tech,https://insidetech101.substack.com,Technology,SWAI
miavan,Mia,modernlab,https://miavan.substack.com,AI & Machine Learning,SWAI
youngkim1357,Young Kim,digestible UX,https://www.digestibleux.com,Product Development,SWAI
