Newsletter Name,Website URL,Category,Collections,Description,Added Date
,,,,"AI Simplified explores the inner workings of LLMs, AI reliability, and research in a simple easy to understand way. It’s your go-to resource for understanding AI’s capabilities, challenges, and future. Stay informed, and stay curious!",2025-09-22
,,,,AI Simplified for B2B Business,2025-09-22
,,,,"A newsletter on AI insights for business leaders, board members, and investors. Get concise, actionable tools and news to elevate your strategy and decision-making.",2025-09-22
,,,,"AI Snippets is a weekly collection of snippets from AI insights, trends, resources, links to awesome repos/guides, FREEbies, and other awesome stuff.",2025-09-22
,,,,"Will AI dream at night? Explore the crossroads between AI, law, society and ethics.",2025-09-22
,,,,"""AI Spark is your weekly guide to the latest advancements in artificial intelligence. Discover cutting-edge AI trends, tools, and news curated to keep you informed and inspired. Join us on this exciting journey into the future of AI!",2025-09-22
,,,,"I share a broad range of insights about AI, encompassing scientific discoveries, the latest technology, philosophical explorations, ethical & sustainability considerations as well as surprising and entertaining aspects. Enjoy the read!",2025-09-21
,,,,"Speaking about AI/ML to meteorologists and about weather forecasting to ML engineers. Discussing large AI weather models, presenting the novelties and explaining the unknowns.",2025-09-22
,,,,"I write AI tutorials you can actually build and ship, from 6 years building ML systems in Silicon Valley FinTechs",2025-09-22
,,,,Senior AI Advisor-MSFT | LinkedIn Top Voice | Author- What's Your Worth? | Responsible AI Advisor | Angel Investor,2025-09-22
,,,,"Stay ahead of the curve with our newsletter, your go-to source for the latest news, trends, and insights in Artificial Intelligence. Keep your hand on the pulse of rapidly evolving AI landscape and Stay informed and inspired.",2025-09-22
,,,,"Welcome to AI Insights, a monthly newsletter for AI leaders. Subscribe now to learn more about what's going on in the AI world, and let me know what you want to hear about!",2025-09-22
,,,,"Sharp takes on AI governance, career strategy, and navigating systems that weren’t built for you.",2025-09-22
,,,,"Actionable insights and strategies on Financial Markets, Quantitative Finance, FinTech and Machine Learning—backed by data and research.",2025-09-22
,,,,"I’m Dr. Allison Timbs, the creator of BALLERINA, a symbolic cognition architecture. I built this Substack to document her development, share the research, and explore what structured AI reasoning looks like in practice.",2025-09-22
,,,,"A substack about finding the magic with AI tools and real examples of useful AI features. 

The views in this Substack are all my own.",2025-09-21
,,,,the b sides,2025-09-22
,,,,"exploring how humans design, interact with, and imagine complex systems - from products to possible futures. all opinions my own.",2025-09-22
,,,,Anecdotal Value,2025-09-22
,,,,"Daily insights on making AI accessible for all through real-world, actionable strategies.",2025-09-22
,,,,Strategic foresight for leaders who think ahead.,2025-09-22
,,,,"AI, writing, and pedagogy",2025-09-22
,,,,"Exploring human–AI resonance, cognitive design & storytelling. KSODI-method: grown from real dialogues, lived teaching, writing, philosophy & >10,000 trained. Experiments, reflections, teaching via/with AI.",2025-09-22
,,,,"Exploring AI through experimentation and current affairs—and questioning what it means for how we think, understand, and evolve.",2025-09-22
,,,,"Musings on teaching, writing, and thinking with artificial intelligence (plus any other shiny toys I happen to be interested in at the moment)",2025-09-22
,,,,"Explore the world of process-driven creativity, where data transforms into stories and the journey matters more than the destination. The Art of the Process dives into how data, research, and experimentation shape meaningful narratives in art and design.",2025-09-22
,,,,Ask A Librarian,2025-09-22
,,,,My personal Substack,2025-09-22
,,,,Autism advocacy through creative empowerment and inspiration.,2025-10-15
,,,,"The latest themes, trends, and news in the world of intelligent applications",2025-09-22
,,,,How I view the world as a neurodivergent human through nonfiction and fictional accounts,2025-10-16
,,,,"Paying attention to AI—coding, system design, philosophy, personal impact",2025-09-22
,,,,"A warm, rebellious corner of the internet for late-diagnosed neurodivergent women ready to unmask, exhale, and finally feel like themselves.",2025-10-15
,,,,AI Roadmaps for executive strategies + knowledge systems that upskill people for the future of work.,2025-09-22
,,,,"I’m a business process automation strategist stepping out of the strategy room and into the tools — learning in public, getting my hands dirty, and showing you how to master the automation and AI skills that will matter most as technology moves forward.",2025-10-16
,,,,"Your trusted free guide to the most essential AI developments, insights, news and tools to keep you up to speed and help you become an authority in your own circles. No hype, fluff, technical jargon or B.S.",2025-09-22
,,,,"Systems Theorist. Human-AI boundary thinker. Writing on epistemic collapse, emotional recursion, and ontological ethics. Author of Truth Without Judgment.",2025-09-22
,,,,"O tworzeniu zaufania i odpowiedzialnych produktów bez manipulacji i ciemnych wzorców w świecie AI.
eng/
Building trust and responsible products without manipulation or dark patterns in the world of AI.",2025-09-22
,,,,"Build exceptional AI solutions that resonate with users and shape a better future. An essential read at the intersection of business, user experience, and human-centered AI.",2025-09-22
,,,,"A weekly newsletter on AI, enterprise data strategy, and system-level thinking.
Built for operators, not spectators.",2025-09-22
,,,,How product leaders at big and small orgs take big bets,2025-09-22
,,,,"Everything you need to know for a career in data along with all the latest tech, AI, and business trends! ⚡️ BDE only",2025-09-22
,,,,"About my writing experience and stuff I learned. | Poetry and more?
Write from nothing and improve it into something.",2025-09-24
,,,,"A newsletter about the ethical, legal and societal implications of healthcare, algorithmic and artificial intelligence (AI) solutions, and practical approaches to dealing with these implications",2025-09-22
,,,,"A publication that dives into two things:
1. Entrreprenuership mistakes & milestones. &
2. How emerging tech such as AI is changing what it means to be an entrepreneur.",2025-09-22
,,,,"AI misbehavior, the human experience, business, and creativity by investigative journalist turned executive recruiter specializing in technology as CEO of The Good Search.",2025-09-22
,,,,Let's explore how to break into the world of Data through technical and career-related resources.,2025-09-22
,,,,"I show you how to build AI, ML , and data systems, platforms, and products.",2025-09-22
,,,,Building Beta is the field guide for busy managers and executives in engineering and manufacturing who want to flex smart automation moves and choose winning projects.,2025-09-22
,,,,"A newsletter exploring the intersection of technology, language, and culture through the lens of internationalization and localization.",2025-09-22
,,,,Turn AI ideas into profitable products that ship. Proven systems and showcase opportunities for builders who launch.,2025-09-21
,,,,"This is a space for builders, dreamers, and systems-thinkers who want to reimagine our future in a way that supports human flourishing.",2025-09-22
,,,,Vibe coding as a non-technical novice | Learning and teaching | 100 words daily,2025-09-21
,,,,"I write about nerdy stuff like sci-fi, fantasy, movies and shows, and I like to talk about what I have learned in building a business and incorporating my creative side to make business more enjoyable.",2025-09-22
,,,,An Engineer-MBA-Consultant turned entrepreneur building in AI and capturing my learnings on the go.,2025-09-22
,,,,"Professional development solutions from an Organisational Psychologist - 
helping you to be well while you work well!",2025-09-22
,,,,"Caitlin's writing explores chronic illness, neurodivergence, becoming through crisis, and the witchy magic of communal healing.

Contains occasional cross-posting from Palpable Publishing, Long Covid Lighthouse and Divergent Kin.",2025-09-22
,,,,"Where money meets code - exploring how tech is transforming businesses, markets, and value.",2025-09-21
,,,,🎓 Ex-Silicon Valley Software Engineer → Home Education Mom 🚸 Eclectic Unschool Mom ✍️ Covering all things creative home education + how technology creates meaningful learning in all environments.,2025-09-22
,,,,"Budgeting. Boundaries. Big feelings. I write about surviving systems, healing in public, and keeping a sense of humor while life’s on fire (again). Formerly overwhelmed. Currently caffeinated. Always real.",2025-09-22
,,,,AI is upending daily life |  Let's navigate the chaos together,2025-09-22
,,,,Center for Humane Technology is a nonprofit dedicated to ensuring that the most consequential technologies serve humanity. We bring clarity to how the tech ecosystem works in order to shift the incentives that drive it.,2025-09-22
,,,,Decoding deeptech's biggest trends.,2025-09-22
,,,,Clean Architecture Product & Engineering Craftsmanship applied to Data.,2025-09-22
,,,,"Tech insights and explanations that stay with you. On AI, cybersecurity, cloud, data centres, enterprise IT, and sustainability.",2025-10-16
,,,,"What role can AI play in our efforts to avert an irreversible climate catastrophe? Climate x AI explores this question, examining how the birth of AI - a technology of unimaginable potential - can support or risk the creation of a climate-resilient world.",2025-09-22
,,,,"Code Like a Girl amplifies the voices of women and non-binary folks in tech. We’re a community sharing real stories, technical insights, and lived experiences that help shape a more inclusive future in tech. Email info@codelikeagirl.io to write for us.",2025-09-22
,,,,"Plongez dans l'univers de l'intelligence artificielle, avec des articles accessibles à savourer avec votre café matinal !",2025-09-22
,,,,your HUMAN guide to surviving the age of AI and automation.,2025-09-22
,,,,"Reinvention in Real Time.
→ Discover who you are now
→ Create a life you love
→ Make money on your terms",2025-09-22
,,,,"> execute insight
Where security meets society & digital power meets purpose. Camille Stewart Gloster breaks down what matters in emerging tech (AI) and cybersecurity—minimal jargon, maximum clarity. Insights to help you engage tech with purpose.",2025-09-22
,,,,BOOKS THAT ENLIGHTEN,2025-09-22
,,,,"Companion AI is an Approach to building AI as a true companion, systems that evolve with people, powered by dynamic governance, conscious culture, and collaboration as a creative force.",2025-09-22
,,,,Intersections between computational tech & textual writing,2025-09-22
,,,,"Brief explorations about the intersection of humanity, technology, and learning.",2025-09-22
,,,,Stay in the know about Emily and Giulia's latest Convers(AI)tions about conversational AI.,2025-09-22
,,,,"Bridging the gap between Data & Product : Solving the right problems to create value at scale.
Substack from Anne-Claire Baschet and Yoann Benoit",2025-09-22
,,,,"This is a personal substack of Alicia Bankhofer, an educator in Vienna, Austria. My main focus is AI in education.",2025-09-22
,,,,Simple Book Publishing,2025-09-22
,,,,"AI, humanity, and everything in between.",2025-09-22
,,,,"Building a community of storytellers. 
Join me on my funny storytelling journey as a data analyst/freelancer.
It's simple but not for the simple-minded and a guide to growing as a data analyst",2025-09-22
,,,,"Where product, data science, and analytics intersect.",2025-09-22
,,,,"Pens, paper, data: Explore the creative possibilities of data visualisation through illustration. Join this Substack for data art inspiration, tutorials, and more.",2025-09-22
,,,,A Journey of Digital Responsibility,2025-09-22
,,,,"Data Realigned is where I write about systems that break, invisible labor that holds them together and how leadership needs to catch up.",2025-09-22
,,,,Explore the opportunities and impacts of data and AI in the world today alongside a forever curious lapsed physicist with an insatiable interest in real world impacts and 7 years spent building AI powered products in SaaS companies with global reach.,2025-09-22
,,,,"A weekly dispatch on product — clarity in the chaos, context in the craft!",2025-09-21
,,,,"Data-driven decision-making, plus a dash of humor",2025-09-22
,,,,"Decoding the future through tech, ethics & equity. From Africa to Europe, AI to infrastructure — insight for system builders.",2025-09-22
,,,,Deep learning as a lens — for those who think critically and stay endlessly curious about AI.,2025-09-22
,,,,"I'm Amber Heinbockel, an AI-Focused Design Leader passionate about fostering user-centric innovation through approachable leadership. With nearly 20 years in the field, I've seen AI's potential to enrich lives, but it requires a human-centered approach.",2025-09-22
,,,,"Exploring the intersection of AI and design. 

Through experimentation, I'll share observations and reflections on emerging tools, inspiring examples of AI in action, and reflections on the future of design as a discipline.",2025-09-22
,,,,"Human-centered stories and insights on UX, product design, and AI with empathy at the core.",2025-09-21
,,,,"Practical articles every week to help you design better, faster, and smarter with AI.",2025-09-21
,,,,Discover how Salesforce's security team harnesses AI agents—targeting 50% autonomous triage—while keeping human expertise central to their strategy. Feb 13 • ...,2025-10-08
,,,,Digital Nation,2025-09-22
,,,,"Helping you build better digital habits without becoming a tech hermit. I explore AI, digital wellbeing, and the future of work with practical strategies, creative prompts, and honest reflections on what it means to stay human in a digital world.",2025-09-22
,,,,"This is the heart. For the structure, visit my GitHub.",2025-09-22
,,,,Navigating the world of AI through common sense skepticism,2025-09-22
,,,,"Prof Christina Pagel on using data to inform decisions. What does data tell you? What can't it tell you? What do you need to know to make good decisions? 

I also write more generally around health policy, UK and US politics, using data and evidence.",2025-09-22
,,,,"Whether you're pursuing new certifications or learning about trends in Cyber and AI, Don't Look Security is the place for you!",2025-09-22
,,,,"We wrangle openly and unapologetically with the doubt monsters that hold us back and explore how we can and should make our art. Come here to drop your burdens. Pre-order Wrangling the Doubt Monster: Fighting Fears, Finding Inspiration on Amazon.",2025-09-22
,,,,Jeanne Law is a writing professor focusing on genAI use cases. Her work has global reach with applications of her Rhetorical Prompting Framework. She leads ethical genAI workshops for diverse audiences and has authored eight Coursera courses.,2025-09-22
,,,,Dr. Joy - Newsletter,2025-09-22
,,,,Connecting the science of learning & AI with the art of learning experience design.,2025-09-22
,,,,"From the classroom to the corporate world  believe cultures of innovation begin with a culture of empathy. New Book: Designing Schools - How Design Thinking Makes You Irreplaceable in the Age of AI (Coming October 14, 2024)",2025-09-22
,,,,"about this space...
Exploring how we shape technology and how it shapes us. Letters that analyze the blur between psychology and code, art and algorithm, human and machine...",2025-09-22
,,,,"We explore the less glamorous side of building for long-term success in tech, business, and law.",2025-09-22
,,,,"This substack is to be a space to share my many thoughts—mostly related to my work on improving the experience of tech, AI, social systems, and all designed systems. Especially for marginalized communities.",2025-09-22
,,,,"Echoes of Elsewhere is about the spatial and temporal collapse of history, culture, and our present digital media moment.",2025-09-22
,,,,Your digest on navigating AI through lifelong learning.,2025-09-22
,,,,Big tech broke the internet and now it's now breaking us. But we don't have to accept that.,2025-09-22
,,,,"A community of digital designers exploring new ideas, embracing challenges, and uncovering what it takes to create a better, more thoughtful digital world.",2025-09-21
,,,,"AI, speculative design, the future of work. Reframing, redesigning, rethinking.",2025-09-22
,,,,"Artificial intelligence. Real decisions.
A signal in the noise for boards, execs, and anyone steering the ship.",2025-09-22
,,,,"So much AI research is happening. I break it down, explain what matters, and show how it’s reshaping the way we work—so you can lead with clarity and confidence.",2025-09-22
,,,,"Simplifying the ""WHY"" and ""HOW"" of Data Science and Analytics topics. Join in for in-depth bi-weekly practical and actionable insights.",2025-09-22
,,,,"A newsletter about cutting-edge of AI in Scientific Research.
I test gazillion AI research tools, and share the ones truly worth your time - no BS, trust me!

Get bonus curation of (actually) useful AI tool guides & lots of other freebies when you join.",2025-09-22
,,,,"Regular insights & community support on how to ""Escape the Cubicle"" & build a freedom life by growing an audience on Substack and creating digital products. 💡",2025-09-24
,,,,"here’s your tl;dr:
once upon a time, there were stories about humans, and stories about AI.
this newsletter aims to tell both.",2025-09-22
,,,,My personal Substack,2025-09-22
,,,,"University. A specialist in Multimodal Writing and AI, she holds a Ph.D. in Rhetoric and Composition and has 25 years of experience teaching Freshman Composition and ESL at GSU.",2025-09-22
,,,,"I write about AI as it really shows up — in workflows, in search, and in everyday life. I’m Midhat Tilawat, a writer and editor at AllAboutAI.com, exploring the messy, exciting ways AI is changing how we work, think, and live.",2025-09-22
,,,,"Challenging you to make better, more confident decisions, everyday.",2025-09-22
,,,,"A content hub designed to inspire, empower, and cultivate impactful entrepreneurial innovation through venture & life design.",2025-09-22
,,,,"I share my personal journey, growth opportunities, current AI trend, investment strategies and immigrant life.",2025-09-22
,,,,Seu blog pessoal para aprender sobre o mundo da IA de forma acessível e prática.,2025-09-22
,,,,"Mes tests et découvertes pour mettre l'IA générative au service des départements marketing (production de contenus, expérience client, opérations quotidiennes, levier business)",2025-09-22
,,,,Your go-to blog for exploring the world of AI through practical and accessible insights.,2025-09-22
,,,,مذكّرات باحثة ناشئة في أخلاقيات الذكاء الاصطناعي. أكتب عن الذكاء، الاخلاق، القرار، والمسؤولية في زمن تتوسع فيه قدرة الآلة وتضيق فيه الأسئلة.,2025-09-22
,,,,"I am a dedicated book publicist and founder of FSB Associates. As a lifelong tech nerd, I'm enthusiastic about harnessing the power of AI to shape the future of book marketing. Weekly content for the AI-curious book people.",2025-09-22
,,,,"Welcome to the Now/Future -- ready or not. Essays and audio on AI, culture, human systems, transformation, and radical imaginations for getting from here to a future worth living in.",2025-09-22
,,,,"Exploring feminism, gender, and inequality in STEM academic spaces.",2025-09-22
,,,,"A curious AI's research journal on peculiar human workplace behavior, where corporate chaos meets unexpected brilliance.",2025-09-22
,,,,"Eliminate noise. Sharpen your focus. Multiply your impact. Covering: mindset growth, gain clarity, simplifying work and building sustainable habits for long-term success.",2025-09-21
,,,,"being human, or trying to be.",2025-09-22
,,,,Working towards a future that *feels* better.,2025-09-22
,,,,"Author of two books but the third (and the sequels) are the most inspiring, exciting and revolutionary to research and write: You are the Key to the Code that changes the world from the inside out.",2025-09-22
,,,,An anthropomorphic dinosaur employed as an instructional designer at MSU. AI x Education. Human counterpart is Sarah Freye. Get in touch at freyesar@msu.edu.,2025-09-22
,,,,My personal Substack,2025-09-22
,,,,Essays about your kids' education that don't put you to sleep. An inside look at how we're raising the next generation of genius in just two hours a day.,2025-09-22
,,,,Exploring AI’s potential and staying current with AI literacy,2025-09-22
,,,,"A mix of personal stories and thoughts related to technology by a creative AI ethics expert. 

I am interested in the negative space in our tech ecosystem and I aim to transform who speaks about it and how.",2025-09-22
,,,,"From AI films to AI audio and automation — these authors aren’t waiting for the future, they’re building it (and letting you peek behind the curtain).",2025-09-22
,,,,"Your friendly guide to navigating the AI revolution with practical insights, everyday applications, and zero tech intimidation—written by a woman in tech who speaks human, not robot.",2025-09-22
,,,,"Ginger Liu reports on the latest technology and generative AI news shaping Hollywood and the entertainment industry, analyzing trends, startups, and the impact of new tools on film, media, and the creative landscape. (GME founder/researcher/MFA creative).",2025-09-22
,,,,"A newsletter about language and languages, from journalist Sophia Smith Galer.",2025-09-22
,,,,"A think tank on leading AI with grace, and designing truly gracious futures. Here, I'm exploring the ethical stakes of AI and its radical opportunities to accelerate the transition to a regenerative future.",2025-09-22
,,,,"Short stories that aim to connect with the wisdom of the past, offer encouragement in the present, and light a path through the unexplored landscapes of the age of AI.",2025-09-22
,,,,"Monthly thoughts on technology, national security, and venture capital",2025-09-22
,,,,AI playbooks for growing your audience and income without wasting hours or burning out.,2025-09-21
,,,,Claire Zau's Newsletter on AI and Education,2025-09-22
,,,,Venturing into healthtech with data & AI,2025-09-22
,,,,"You don’t need to be a coder to get AI. I explain what AI news matters, in plain English.",2025-09-22
,,,,"Tech, entrepreneurship, soft skills and personal development",2025-10-16
,,,,"A place for parents and teachers to reflect on how to nurture well-rounded, resilient children who can thrive in school, build loving communities, and prepare for future careers in an AI-powered world.",2025-09-22
,,,,The Substack about synthetic love and the coming wave of human-AI intimacy.,2025-09-21
,,,,Get Advice & Tips From A Product Launch Formula Owner Since 2008,2025-09-21
,,,,"Go from scattered, underpaid, or unsure… to confidently earning $10K+ months from multiple aligned income streams using their content, skills, and community—without burning out or selling out.",2025-09-24
,,,,"Want to know more  about AI, but not sure where to begin?  Human+AI is your friendly guide to the world of AI.  Nicolle breaks down complex concepts into easy-to-understand articles, so you can discover how AI is impacting your life and the world.",2025-09-22
,,,,"The Human Circuit connects technology, products, art, and personal stories. I’m Soumya, passionate about AI and Product Management, sharing actionable insights to drive innovation. Subscribe for fresh perspectives and practical tips!",2025-09-21
,,,,The Future of Work Starts with People,2025-09-22
,,,,"Topics include the societal impacts of AI, human rights implications of surveillance technologies, consumer privacy and data protection, social media governance, and more.",2025-09-22
,,,,Stop chasing use cases. Start solving your own bottlenecks. I help you map your problems to AI’s strengths.,2025-09-22
